name,latitude,longitude
The Hub,29.6486154,-82.3452668
Turlington Hall,29.6481156,-82.3435097
Shands hospital at dental science building,29.6389432,-82.3462113
Frazier-Rogers Hall,29.6449656,-82.3449262
Reitz Union Food Court,29.6460208,-82.3477828
UF Health @ Center Drive,29.6402444,-82.3461497
Reitz Union @ McCarty Drive,29.6453414,-82.3468871
Reitz Union @ McCarty Drive,29.6451979,-82.3470227
The French Fries,29.6479642,-82.3443247
Rawlings Hall,29.6463101,-82.343419
Hume Hall,29.6448132,-82.3520135
Chick-fil-A,29.6470255,-82.3414993
Starbucks,29.6482553,-82.3454479
Subway,29.6463319,-82.3432213
Beaty Market,29.6442834,-82.3406763
Keys Residential Complex,29.6482593,-82.3548663
Tolbert Area Council,29.6480431,-82.3511326
University Village South,29.6377439,-82.3703308
Cultural Plaza,29.6375548,-82.3700869
Southwest Recreation Center,29.638112,-82.3692323
Southwest Recreation Center,29.6381111,-82.3693594
Beaty Towers,29.6447665,-82.3408577
Turlington Hall,29.6480936,-82.3435861
Gale Lemerand Athletic Center,29.6483728,-82.3537114
Starbucks,29.6479585,-82.3441883
Century Tower,29.6490092,-82.3434533
Frazier-Rogers Hall,29.6448348,-82.3449247
Rawlings Hall,29.646146,-82.3435169
Animal Science,29.6316216,-82.3514396
Webb Livestock Pavilion,29.6340096,-82.3512532
Webb Livestock Pavillion,29.6340119,-82.3511123
College of Dentistry,29.6390372,-82.3450961
Commuter Lot,29.641826,-82.3504498
University of Florida Cogeneration,29.6399844,-82.3486668
Cancer and Genetics Research Complex,29.6387644,-82.3514106
Cancer and Genetics Research Complex,29.6389216,-82.3514116
Commuter Lot Parking Garage 5,29.6429678,-82.3505745
Moses,29.6446983,-82.3494599
Baby Gator,29.6449106,-82.3606194
Corry Village,29.644967,-82.3606384
Lakeside Residential Building,29.6412769,-82.3642626
Corry Village,29.6447675,-82.3609076
Sigma Alpha Epsilon,29.6449893,-82.3552823
Fraternity Row,29.648269,-82.3577326
Davis Cancer Pavilion,29.6376985,-82.35022
Wilmot Gardens,29.6393782,-82.3497576
Wilmot Gardens,29.6396451,-82.3493458
UF Parking and Transportation Services,29.6398412,-82.3503582
Fraternity Row,29.6464053,-82.3578969
Keys Residential Complex,29.6482279,-82.35298
Beaty Towers,29.6446835,-82.3408389
Parking Garage 9,29.6363259,-82.3500824
Pepsi,29.6453762,-82.3469801
University Police Department,29.644778,-82.342995
Police Department,29.6448275,-82.3430806
Southwest Recreation Center,29.6377587,-82.3683456
UF Health @ Center Drive,29.6401934,-82.3462577
Lacrosse Field,29.6375865,-82.3651836
Pressly Softball Stadium,29.6377541,-82.364958
Shands Visitor Parking,29.6396493,-82.347246
Maguire Field,29.6409911,-82.369246
UF Counseling and Wellness Center,29.6423082,-82.3689267
Family Housing,29.6411219,-82.3693747
UF Counseling and Wellness Center,29.6421563,-82.3689814
Shands Visitor Parking,29.6395782,-82.3472301
Honors Residential College at Hume Hall,29.6448959,-82.3521023
WGVR,29.6477784,-82.347415
Butterfly Rainforest,29.6360248,-82.3699221
The Potato,29.6490641,-82.3437698
Albert A. Murphree,29.6504084,-82.3420628
Chick-fil-A,29.6483345,-82.3451544
A Living Legacy To The Constitution 1787-1987,29.6499429,-82.3432644
Venetian Rennaissance Well-Head,29.650804,-82.3421077
Todd C. Prosser Memorial Garden,29.6507114,-82.3421131
Todd C. Prosser Memorial Garden,29.650896,-82.3421119
University of Florida College of Pharmacy,29.6417298,-82.3452511
University of Florida College of Nursing,29.6417252,-82.3451277
University of Florida College of Public Health and Health Professions,29.6416645,-82.3453101
UF Informatics Institute,29.6482882,-82.3441035
Lakeside Residential Complex,29.6421792,-82.3661886
Tim Tebow (2007),29.6501236,-82.3500126
Steve Spurrier (1966),29.6500812,-82.3500172
Danny Wuerffel (1996),29.6500409,-82.3500184
Bull Gator,29.6487965,-82.3495976
Gate 18,29.6489797,-82.3491996
Gate 6,29.6510262,-82.3491981
Gate 7,29.6511752,-82.3488396
Gate 8,29.6511813,-82.3484133
Gate 9,29.651022,-82.3480181
Gate 16,29.6489971,-82.348085
Gate 17,29.6487365,-82.3486323
Gate 1,29.6493131,-82.3497229
Gate 2,29.6495504,-82.3498169
Gate 3,29.6503026,-82.349812
Gate 4,29.6504781,-82.349761
Gator Sportshop (South End Zone),29.6489688,-82.3491513
Gatorade's Birthplace,29.6500025,-82.3502872
UF Transportation Institute,29.6483856,-82.34799
